
7551 parameters
epoch: 1/20, train error = 0.7663, test error = 0.8707
epoch: 2/20, train error = 0.1749, test error = 0.0617
epoch: 3/20, train error = 0.0259, test error = 0.0152
epoch: 4/20, train error = 0.0120, test error = 0.0073
epoch: 5/20, train error = 0.0090, test error = 0.0051
epoch: 6/20, train error = 0.0042, test error = 0.0024
epoch: 7/20, train error = 0.0168, test error = 0.0017
epoch: 8/20, train error = 0.0034, test error = 0.0015
epoch: 9/20, train error = 0.0029, test error = 0.0010
epoch: 10/20, train error = 0.0038, test error = 0.0008
epoch: 11/20, train error = 0.0039, test error = 0.0009
epoch: 12/20, train error = 0.0016, test error = 0.0006
epoch: 13/20, train error = 0.0046, test error = 0.0008
epoch: 14/20, train error = 0.0011, test error = 0.0004
epoch: 15/20, train error = 0.0007, test error = 0.0005
epoch: 16/20, train error = 0.0008, test error = 0.0004
epoch: 17/20, train error = 0.0009, test error = 0.0006
epoch: 18/20, train error = 0.0006, test error = 0.0003
epoch: 19/20, train error = 0.0010, test error = 0.0003
epoch: 20/20, train error = 0.0003, test error = 0.0002
