
7551 parameters
epoch: 1/20, train error = 0.7299, test error = 0.8564
epoch: 2/20, train error = 0.1686, test error = 0.0653
epoch: 3/20, train error = 0.0311, test error = 0.0153
epoch: 4/20, train error = 0.0148, test error = 0.0066
epoch: 5/20, train error = 0.0065, test error = 0.0039
epoch: 6/20, train error = 0.0050, test error = 0.0019
epoch: 7/20, train error = 0.0157, test error = 0.0022
epoch: 8/20, train error = 0.0022, test error = 0.0018
epoch: 9/20, train error = 0.0022, test error = 0.0015
epoch: 10/20, train error = 0.0044, test error = 0.0009
epoch: 11/20, train error = 0.0031, test error = 0.0013
epoch: 12/20, train error = 0.0028, test error = 0.0007
epoch: 13/20, train error = 0.0033, test error = 0.0009
epoch: 14/20, train error = 0.0014, test error = 0.0006
epoch: 15/20, train error = 0.0014, test error = 0.0006
epoch: 16/20, train error = 0.0009, test error = 0.0004
epoch: 17/20, train error = 0.0009, test error = 0.0004
epoch: 18/20, train error = 0.0015, test error = 0.0002
epoch: 19/20, train error = 0.0011, test error = 0.0002
epoch: 20/20, train error = 0.0005, test error = 0.0002
