
7551 parameters
epoch: 1/50, train error = 1.2374, test error = 0.8706
epoch: 2/50, train error = 0.0480, test error = 0.0655
epoch: 3/50, train error = 0.0216, test error = 0.0138
epoch: 4/50, train error = 0.0212, test error = 0.0067
epoch: 5/50, train error = 0.0055, test error = 0.0030
epoch: 6/50, train error = 0.0051, test error = 0.0019
epoch: 7/50, train error = 0.0035, test error = 0.0011
epoch: 8/50, train error = 0.0029, test error = 0.0016
epoch: 9/50, train error = 0.0016, test error = 0.0008
epoch: 10/50, train error = 0.0051, test error = 0.0009
epoch: 11/50, train error = 0.0031, test error = 0.0006
epoch: 12/50, train error = 0.0011, test error = 0.0004
epoch: 13/50, train error = 0.0017, test error = 0.0006
epoch: 14/50, train error = 0.0014, test error = 0.0008
epoch: 15/50, train error = 0.0010, test error = 0.0004
epoch: 16/50, train error = 0.0020, test error = 0.0006
epoch: 17/50, train error = 0.0007, test error = 0.0002
epoch: 18/50, train error = 0.0011, test error = 0.0003
epoch: 19/50, train error = 0.0008, test error = 0.0004
epoch: 20/50, train error = 0.0008, test error = 0.0003
epoch: 21/50, train error = 0.0005, test error = 0.0003
epoch: 22/50, train error = 0.0003, test error = 0.0003
epoch: 23/50, train error = 0.0007, test error = 0.0001
epoch: 24/50, train error = 0.0004, test error = 0.0002
epoch: 25/50, train error = 0.0004, test error = 0.0002
epoch: 26/50, train error = 0.0004, test error = 0.0002
epoch: 27/50, train error = 0.0003, test error = 0.0001
epoch: 28/50, train error = 0.0002, test error = 0.0001
epoch: 29/50, train error = 0.0003, test error = 0.0001
epoch: 30/50, train error = 0.0001, test error = 0.0001
epoch: 31/50, train error = 0.0001, test error = 0.0001
epoch: 32/50, train error = 0.0001, test error = 0.0001
epoch: 33/50, train error = 0.0002, test error = 0.0001
epoch: 34/50, train error = 0.0003, test error = 0.0000
epoch: 35/50, train error = 0.0002, test error = 0.0000
epoch: 36/50, train error = 0.0001, test error = 0.0001
epoch: 37/50, train error = 0.0000, test error = 0.0000
epoch: 38/50, train error = 0.0001, test error = 0.0001
epoch: 39/50, train error = 0.0001, test error = 0.0000
epoch: 40/50, train error = 0.0001, test error = 0.0000
epoch: 41/50, train error = 0.0001, test error = 0.0000
epoch: 42/50, train error = 0.0000, test error = 0.0000
epoch: 43/50, train error = 0.0000, test error = 0.0000
epoch: 44/50, train error = 0.0002, test error = 0.0000
epoch: 45/50, train error = 0.0001, test error = 0.0000
epoch: 46/50, train error = 0.0000, test error = 0.0000
epoch: 47/50, train error = 0.0000, test error = 0.0000
epoch: 48/50, train error = 0.0001, test error = 0.0000
epoch: 49/50, train error = 0.0000, test error = 0.0000
epoch: 50/50, train error = 0.0001, test error = 0.0000
